id_cliente,Churn,Genero,Idoso,Parceiro,Dependentes,Tempo de serviço,Telefone,Multiplas linhas,Servico de internet,Seguranca online,Backup,Protecao de dispositivo,Suporte tecnico,Streaming TV,Streaming Filmes,Contrato,Faturamento,Metodo de pagamento,valor_mensal,valor_total,Contas_Diarias
0002ORFBO,0,Feminino,Não,1,1,9,1,No,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,65.6,593.3,2.1866666666666665
0003MKNFE,0,Masculino,Não,0,0,9,1,Yes,DSL,No,No,No,No,No,Yes,Monthtomonth,No,Mailed check,59.9,542.4,1.9966666666666666
0004TLHLJ,1,Masculino,Não,0,0,4,1,No,Fiber optic,No,No,Yes,No,No,No,Monthtomonth,Yes,Electronic check,73.9,280.85,2.4633333333333334
0011IGKFF,1,Masculino,Sim,1,0,13,1,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Monthtomonth,Yes,Electronic check,98.0,1237.85,3.2666666666666666
0013EXCHZ,1,Feminino,Sim,1,0,3,1,No,Fiber optic,No,No,No,Yes,Yes,No,Monthtomonth,Yes,Mailed check,83.9,267.4,2.796666666666667
0013MHZWF,0,Feminino,Não,0,1,9,1,No,DSL,No,No,No,Yes,Yes,Yes,Monthtomonth,Yes,Credit card automatic,69.4,571.45,2.3133333333333335
0013SMEOE,0,Feminino,Sim,1,0,71,1,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer automatic,109.7,7904.25,3.6566666666666667
0014BMAQU,0,Masculino,Não,1,0,63,1,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Credit card automatic,84.65,5377.8,2.8216666666666668
0015UOCOJ,0,Feminino,Sim,0,0,7,1,No,DSL,Yes,No,No,No,No,No,Monthtomonth,Yes,Electronic check,48.2,340.35,1.6066666666666667
0016QLJIS,0,Feminino,Não,1,1,65,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,90.45,5957.9,3.015
0017DINOC,0,Masculino,Não,0,0,54,0,No phone service,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Credit card automatic,45.2,2460.55,1.5066666666666668
0017IUDMW,0,Feminino,Não,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card automatic,116.8,8456.75,3.893333333333333
0018NYROU,0,Feminino,Não,1,0,5,1,No,Fiber optic,No,No,No,No,No,No,Monthtomonth,Yes,Electronic check,68.95,351.5,2.2983333333333333
0019EFAEP,0,Feminino,Não,0,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer automatic,101.3,7261.25,3.3766666666666665
0019GFNTW,0,Feminino,Não,0,0,56,0,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer automatic,45.05,2560.1,1.5016666666666665
0020INWCK,0,Feminino,Não,1,1,71,1,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card automatic,95.75,6849.4,3.191666666666667
0020JDNXP,0,Feminino,Não,1,1,34,0,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,61.25,1993.2,2.0416666666666665
0021IKXGC,0,Feminino,Sim,0,0,1,1,Yes,Fiber optic,No,No,No,No,No,No,Monthtomonth,Yes,Electronic check,72.1,72.1,2.4033333333333333
