id_cliente,Churn,Genero,Idoso,Parceiro,Dependentes,Tempo de serviço,Telefone,Multiplas linhas,Servico de internet,Seguranca online,Backup,Protecao de dispositivo,Suporte tecnico,Streaming TV,Streaming Filmes,Contrato,Faturamento,Metodo de pagamento,valor_mensal,valor_total,Contas_Diarias
0002ORFBO,,Feminino,Não,1,1,9,1,No,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,65.6,593.3,2.1866666666666665
0003MKNFE,,Masculino,Não,0,0,9,1,Yes,DSL,No,No,No,No,No,Yes,Monthtomonth,No,Mailed check,59.9,542.4,1.9966666666666666
0004TLHLJ,,Masculino,Não,0,0,4,1,No,Fiber optic,No,No,Yes,No,No,No,Monthtomonth,Yes,Electronic check,73.9,280.85,2.4633333333333334
0011IGKFF,,Masculino,Sim,1,0,13,1,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Monthtomonth,Yes,Electronic check,98.0,1237.85,3.2666666666666666
0013EXCHZ,,Feminino,Sim,1,0,3,1,No,Fiber optic,No,No,No,Yes,Yes,No,Monthtomonth,Yes,Mailed check,83.9,267.4,2.796666666666667
0013MHZWF,,Feminino,Não,0,1,9,1,No,DSL,No,No,No,Yes,Yes,Yes,Monthtomonth,Yes,Credit card automatic,69.4,571.45,2.3133333333333335
0013SMEOE,,Feminino,Sim,1,0,71,1,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer automatic,109.7,7904.25,3.6566666666666667
0014BMAQU,,Masculino,Não,1,0,63,1,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Credit card automatic,84.65,5377.8,2.8216666666666668
0015UOCOJ,,Feminino,Sim,0,0,7,1,No,DSL,Yes,No,No,No,No,No,Monthtomonth,Yes,Electronic check,48.2,340.35,1.6066666666666667
0016QLJIS,,Feminino,Não,1,1,65,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,90.45,5957.9,3.015
0017DINOC,,Masculino,Não,0,0,54,0,No phone service,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Credit card automatic,45.2,2460.55,1.5066666666666668
0017IUDMW,,Feminino,Não,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card automatic,116.8,8456.75,3.893333333333333
0018NYROU,,Feminino,Não,1,0,5,1,No,Fiber optic,No,No,No,No,No,No,Monthtomonth,Yes,Electronic check,68.95,351.5,2.2983333333333333
0019EFAEP,,Feminino,Não,0,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer automatic,101.3,7261.25,3.3766666666666665
0019GFNTW,,Feminino,Não,0,0,56,0,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer automatic,45.05,2560.1,1.5016666666666665
0020INWCK,,Feminino,Não,1,1,71,1,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card automatic,95.75,6849.4,3.191666666666667
0020JDNXP,,Feminino,Não,1,1,34,0,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,61.25,1993.2,2.0416666666666665
0021IKXGC,,Feminino,Sim,0,0,1,1,Yes,Fiber optic,No,No,No,No,No,No,Monthtomonth,Yes,Electronic check,72.1,72.1,2.4033333333333333
0022TCJCI,,Masculino,Sim,0,0,45,1,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Credit card automatic,62.7,2791.5,2.0900000000000003
0023HGHWL,,Masculino,Sim,0,0,1,0,No phone service,DSL,No,No,No,No,No,No,Monthtomonth,Yes,Electronic check,25.1,25.1,0.8366666666666667
0023UYUPN,,Feminino,Sim,1,0,50,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,25.2,1306.3,0.84
0023XUOPT,,Feminino,Não,1,0,13,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Monthtomonth,No,Electronic check,94.1,1215.6,3.1366666666666663
0027KWYKW,,Feminino,Não,1,1,23,1,Yes,Fiber optic,No,No,No,No,Yes,No,Monthtomonth,Yes,Electronic check,83.75,1849.95,2.7916666666666665
0030FNXPP,,Feminino,Não,0,0,3,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Monthtomonth,No,Mailed check,19.85,57.2,0.6616666666666667
0031PVLZI,,Feminino,Não,1,1,4,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Monthtomonth,No,Mailed check,20.35,76.35,0.6783333333333333
0032PGELS,,Feminino,Não,1,1,1,0,No phone service,DSL,Yes,No,No,No,No,No,Monthtomonth,No,Bank transfer automatic,30.5,30.5,1.0166666666666666
0036IHMOT,,Feminino,Não,1,1,55,1,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer automatic,103.7,5656.75,3.4566666666666666
0040HALCW,,Masculino,Não,1,1,54,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card automatic,20.4,1090.6,0.6799999999999999
0042JVWOJ,,Masculino,Não,0,0,26,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer automatic,19.6,471.85,0.6533333333333334
0042RLHYP,,Feminino,Não,1,1,69,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer automatic,19.7,1396.9,0.6566666666666666
